Name,Price,Rating,Image
Ajmal Silver Shade Eau De Perfume (100ml),"₹1,400",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/ajmal/945451/0/hhvfVWaN5U-EccqY3n0r-945451_1.jpg
Kayali Vanilla 28 Eau De Parfum (100ml),"₹11,350",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1115289/9p6ZdTXdJw-1115289_1.jpg
Kayali Utopia Vanilla Coco 21 Eau De Parfum Intense (10ml),"₹2,500",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1115275/Xerctd0P_-1115275_1.jpg
Hollister Festival Vibes For Him Eau De Toilette (100ml),"₹2,990",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/hollister/957498/0/c95AdxcaL1-iMmUroraVT-957498_1.jpg
"La French Adventure Oud, Romance Oud, Al Hisan, Oud Woody Luxury Perfume Gift Set For Unisex (4Pcs)",₹449,,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1133270/Ulrj_DwU7mH-1133270_1.jpg
"Beardo Whiskey Smoke Perfume EDP, Bourbon Perfume, Single Malt EDP (Set of 3) Combo","₹1,214",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/beardo/COMBO_240105061545-QCS/0/G2XhIim4jr-1120837_Combo_6-1.jpg
CosIQ Emily In Paris Merci Eau De Parfum (100ml),₹494,,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1131668/O8BeAy_3s7-1131668-1.jpg
Gucci Guilty Pour Homme Eau De Parfum Gift Set And Shower Gel - (2 Pcs),"₹8,200",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1133840/CsiRGOzGF2-1133840-1.jpg
Guess Uomo Acqua Eau De Toilette (100ml),"₹5,440",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1131010/GRzyw2McZ0-85715336606_1.jpg
Boss Bottled Eau De Toilette And Deo Set - (2 Pcs),"₹5,400",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1133842/xMSbi3bV_F-1133842-1.jpg
La French Kombat Eau De Parfum For Men (100ml),₹305,,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1133338/lnY9hW6wMV3-1133338_1.jpg
Cristiano Ronaldo CR7 Eau De Toilette (30 ml),"₹3,500",,https://cdn.tirabeauty.com/v2/billowing-snowflake-434234/tira-p/wrkr/products/pictures/item/free/original/1134835/5nOfvm5zHH-1134835_1.jpg
